error_code,category,description,remedy,error_type,source_file,ingested_at,content
16#81F0,Error codes V24 accompanying signals,The module does not support V24 accompanying signals,You have tried to set accompanying signals for a module that does not support V24 accompanying signals. Make sure that this is an RS232 module or that RS232 mode (ET 200SP) is set.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81F0
category: Error codes V24 accompanying signals
error_type: PtP
description: The module does not support V24 accompanying signals
remedy: You have tried to set accompanying signals for a module that does not support V24 accompanying signals. Make sure that this is an RS232 module or that RS232 mode (ET 200SP) is set."
16#81F1,Error codes V24 accompanying signals,No operation of the V24 accompanying signals,The V24 accompanying signals cannot be operated manually if hardware data flow control is active.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81F1
category: Error codes V24 accompanying signals
error_type: PtP
description: No operation of the V24 accompanying signals
remedy: The V24 accompanying signals cannot be operated manually if hardware data flow control is active."
16#81F2,Error codes V24 accompanying signals,The DSR signal cannot be set because the module has the type DTE.,Check the configured type of the module. The module type must be DCE (data communication equipment).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81F2
category: Error codes V24 accompanying signals
error_type: PtP
description: The DSR signal cannot be set because the module has the type DTE.
remedy: Check the configured type of the module. The module type must be DCE (data communication equipment)."
16#81F3,Error codes V24 accompanying signals,The DTR signal cannot be set because the module has the type DCE.,Check the configured type of the module. The module type must be DTE (data terminal equipment).,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81F3
category: Error codes V24 accompanying signals
error_type: PtP
description: The DTR signal cannot be set because the module has the type DCE.
remedy: Check the configured type of the module. The module type must be DTE (data terminal equipment)."
16#81F4,Error codes V24 accompanying signals,Block header error (e.g. incorrect block type or incorrect block length),Check the instance DB and the block header.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#81F4
category: Error codes V24 accompanying signals
error_type: PtP
description: Block header error (e.g. incorrect block type or incorrect block length)
remedy: Check the instance DB and the block header."
16#8201,Error codes of the receive configuration,Receive_Conditions is a pointer to an invalid data type,"Enter a pointer to one of the following data types: DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8201
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditions is a pointer to an invalid data type
remedy: Enter a pointer to one of the following data types: DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING"
16#8225,Error codes of the receive configuration,Receive_Conditionspoints to an optimized memory area greater than 1 kB or Receive_Conditions points to an optimized memory area and the receive length is greater than the area addressed by Receive_Conditions.,"Enter a pointer to an area with a maximum length of: Optimized memory area: 1 KB Non-optimized memory area: 4 KB Note: If the pointer points to an optimized memory area, do not send more than 1 KB.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8225
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditionspoints to an optimized memory area greater than 1 kB or Receive_Conditions points to an optimized memory area and the receive length is greater than the area addressed by Receive_Conditions.
remedy: Enter a pointer to an area with a maximum length of: Optimized memory area: 1 KB Non-optimized memory area: 4 KB Note: If the pointer points to an optimized memory area, do not send more than 1 KB."
16#8229,Error codes of the receive configuration,Receive_Conditions is a pointer to BOOL with a number of bits not equal to n * 8,"If you are using a pointer to BOOL, the number of bits must be a multiple of 8.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8229
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditions is a pointer to BOOL with a number of bits not equal to n * 8
remedy: If you are using a pointer to BOOL, the number of bits must be a multiple of 8."
16#82C1,Error codes of the receive configuration,"Invalid value for ""Buffered received frames"".","Select a suitable value for ""Buffered received frames"". Valid range of values: 1-255",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#82C1
category: Error codes of the receive configuration
error_type: PtP
description: Invalid value for ""Buffered received frames"".
remedy: Select a suitable value for ""Buffered received frames"". Valid range of values: 1-255"
16#82C2,Error codes of the receive configuration,Receive configuration rejected because the 3964(R) protocol was selected,Make sure that no receive configuration is sent if the 3964(R) protocol is set.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#82C2
category: Error codes of the receive configuration
error_type: PtP
description: Receive configuration rejected because the 3964(R) protocol was selected
remedy: Make sure that no receive configuration is sent if the 3964(R) protocol is set."
16#8301,Error codes of the receive configuration,Receive_Conditions is a pointer to an invalid data type,"Select a valid data type. The following are valid: DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8301
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditions is a pointer to an invalid data type
remedy: Select a valid data type. The following are valid: DB, BOOL, BYTE, CHAR, WORD, INT, DWORD, DINT, REAL, DATE, TIME_OF_DAY, TIME, S5TIME, DATE_AND_TIME, STRING"
16#8322,Error codes of the receive configuration,Range length error when reading a parameter,Check the input at the Receive_Conditions parameter,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8322
category: Error codes of the receive configuration
error_type: PtP
description: Range length error when reading a parameter
remedy: Check the input at the Receive_Conditions parameter"
16#8324,Error codes of the receive configuration,Range error when reading a parameter,Check the input at the Receive_Conditions parameter,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8324
category: Error codes of the receive configuration
error_type: PtP
description: Range error when reading a parameter
remedy: Check the input at the Receive_Conditions parameter"
16#8328,Error codes of the receive configuration | SEND status and error codes,Setting error when reading a parameter | BUFFER is a pointer to BOOL with a number of bits not equal to n * 8,"Check the input at the Receive_Conditions parameter | If you are using a pointer to BOOL, the number of bits must be a multiple of 8.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8328
category: Error codes of the receive configuration | SEND status and error codes
error_type: PtP
description: Setting error when reading a parameter | BUFFER is a pointer to BOOL with a number of bits not equal to n * 8
remedy: Check the input at the Receive_Conditions parameter | If you are using a pointer to BOOL, the number of bits must be a multiple of 8."
16#8332,Error codes of the receive configuration,Invalid data block at the Receive_Conditions parameter,Check the input at the Receive_Conditions parameter,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8332
category: Error codes of the receive configuration
error_type: PtP
description: Invalid data block at the Receive_Conditions parameter
remedy: Check the input at the Receive_Conditions parameter"
16#833A,Error codes of the receive configuration,The designation of the data block at the Receive_Conditions parameter refers to a data block which is not loaded.,Check the input at the Receive_Conditions parameter,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#833A
category: Error codes of the receive configuration
error_type: PtP
description: The designation of the data block at the Receive_Conditions parameter refers to a data block which is not loaded.
remedy: Check the input at the Receive_Conditions parameter"
16#8351,Error codes of the receive configuration,Invalid data type,Check the input at the Receive_Conditions parameter,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8351
category: Error codes of the receive configuration
error_type: PtP
description: Invalid data type
remedy: Check the input at the Receive_Conditions parameter"
16#8352,Error codes of the receive configuration,Receive_Conditions does not point to a data block,Check the pointer to Receive_Conditions,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8352
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditions does not point to a data block
remedy: Check the pointer to Receive_Conditions"
16#8353,Error codes of the receive configuration,Receive_Conditions does not point to a structure of the typeReceive_Conditions,Check the pointer to Receive_Conditions,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8353
category: Error codes of the receive configuration
error_type: PtP
description: Receive_Conditions does not point to a structure of the typeReceive_Conditions
remedy: Check the pointer to Receive_Conditions"
16#8389,Error codes 3964(R) protocol,Runtime error: Invalid character received while waiting for free receive buffer,"The send request of the communication partner (STX, 02H) is only answered with DLE when the receive buffer is empty. No additional character may be received before (except STX again). Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8389
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: Invalid character received while waiting for free receive buffer
remedy: The send request of the communication partner (STX, 02H) is only answered with DLE when the receive buffer is empty. No additional character may be received before (except STX again). Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
16#838A,Error codes 3964(R) protocol,"Runtime error: Logical error during receiving. After DLE was received, a further random character (other than DLE or ETX) was received.","Check if partner DLE in frame header and in data string is always in duplicate or the connection is released with DLE ETX. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838A
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: Logical error during receiving. After DLE was received, a further random character (other than DLE or ETX) was received.
remedy: Check if partner DLE in frame header and in data string is always in duplicate or the connection is released with DLE ETX. Check for proper function at the partner device, possibly by using an interface test device that is switched into the transmission line."
16#838B,Error codes 3964(R) protocol,Runtime error: Character delay time exceeded,"Partner device too slow or faulty. Verify by using an interface test device that is switched into the transmission line, if necessary.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838B
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: Character delay time exceeded
remedy: Partner device too slow or faulty. Verify by using an interface test device that is switched into the transmission line, if necessary."
16#838C,Error codes 3964(R) protocol,Runtime error: Wait time for free receive buffer has started,In the user program call the instruction more often or configure a communication with data flow control.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838C
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: Wait time for free receive buffer has started
remedy: In the user program call the instruction more often or configure a communication with data flow control."
16#838D,Error codes 3964(R) protocol,Runtime error: frame repetition does not start within 4 s after NAK,Check the communication partner. A received frame that is possibly corrupted must be repeated by the partner within 4 seconds.,PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838D
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: frame repetition does not start within 4 s after NAK
remedy: Check the communication partner. A received frame that is possibly corrupted must be repeated by the partner within 4 seconds."
16#838E,Error codes 3964(R) protocol,"Runtime error: In idle mode, one or several characters (other than NAK or STX) were received.","Check for proper function of the partner device, possibly using an interface test device that is switched into the transmission line.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838E
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: In idle mode, one or several characters (other than NAK or STX) were received.
remedy: Check for proper function of the partner device, possibly using an interface test device that is switched into the transmission line."
16#838F,Error codes 3964(R) protocol,Runtime error: Initialization conflict - Both partners have set high priority,"Set the ""Low"" priority at one of the partners",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#838F
category: Error codes 3964(R) protocol
error_type: PtP
description: Runtime error: Initialization conflict - Both partners have set high priority
remedy: Set the ""Low"" priority at one of the partners"
16#8391,Error codes 3964(R) protocol,Parameter assignment error: 3964 configuration data rejected because Freeport is set,"If the Freeport protocol is set, make sure that no 3964 parameter assignment data is sent.",PtP,ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8391
category: Error codes 3964(R) protocol
error_type: PtP
description: Parameter assignment error: 3964 configuration data rejected because Freeport is set
remedy: If the Freeport protocol is set, make sure that no 3964 parameter assignment data is sent."
16#8185,,Addressing error,Valid drive address range: 1 to 16,USS,uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8185
category: 
error_type: USS
description: Addressing error
remedy: Valid drive address range: 1 to 16"
16#818E,,The drive was not initialized.,Check the user program and make sure that the USS_Drive_Control instruction is called for this drive.,USS,uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818E
category: 
error_type: USS
description: The drive was not initialized.
remedy: Check the user program and make sure that the USS_Drive_Control instruction is called for this drive."
